Title,Entity,Nationality,Country,From,To,Prohibited Practice,Source,Tipo de sancion del BID,IDB Sanction Source,Other Name
M/s Gayatri Construction,Firm,India," India",2015-07-30T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
"Global Alliance Trading Company, Inc.",Firm,Liberia," Liberia",2015-07-30T00:00,Ongoing," Fraud, Corruption",WBG cross debarment,NULL,NULL,NULL
Project Construction S.A.C.,Firm,Peru," Peru",2015-07-30T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Simed International b.v.,Firm,Netherlands," Bulgaria, Romania",2015-07-30T00:00,Ongoing," Corruption",WBG cross debarment,NULL,NULL,NULL
"Hubei Sunlight Electric Co., Ltd.",Firm,China," Nepal",2015-08-12T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
"Hubei Hengda Steel Structure Co., Ltd.",Firm,China," Nepal",2015-08-12T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
"Sun Transformer Manufacturing Co., Ltd.",Firm,China," Nepal",2015-08-12T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Laxminarayan Mallick (also doing business under Laxmi Narayan Construction or Laxminarayan Construction),Firm,India," India",2015-08-12T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
"Soluciones Energéticas, S.A. (Solener)",Firm,Spain," Ethiopia",2015-09-09T00:00,Ongoing," Corruption",WBG cross debarment,NULL,NULL,NULL
Mr. Manuel Montarroso,Individual,Spain," Ethiopia",2015-09-09T00:00,Ongoing," Corruption",WBG cross debarment,NULL,NULL,NULL
"Xinjinzhu Municipal Landscaping Engineering Co., Ltd., f/k/a Henan Xinjinzhu Landscaping Engineering Co., Ltd.",Firm,China," China",2015-09-09T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
"Xinjinzhu Municipal Landscaping Engineering Co., Ltd., f/k/a Henan Xinjinzhu Landscaping Engineering Co., Ltd.",Firm,China," China",2015-09-09T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Md. Ashfaqur Rahman,Individual,Bangladesh," Bangladesh",2015-05-20T00:00,Ongoing," Fraud",ADB cross debarment,NULL,NULL,NULL
M/S Shimul Enterprise,Firm,Bangladesh," Bangladesh",2015-05-20T00:00,Ongoing," Fraud",ADB cross debarment,NULL,NULL,NULL
Samajik Sangha,Firm,Bangladesh," Bangladesh",2011-07-29T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Mr. K.M. Rahman,Individual,Bangladesh," Bangladesh",2011-07-29T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Mr. Shamsul Alam,Individual,Bangladesh," Bangladesh",2011-07-29T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Compeq - Comércio Produtos e Equipamentos Ltda,Firm,Brazil," Brazil",2012-10-18T00:00,Ongoing," Corruption",WBG cross debarment,NULL,NULL,NULL
Mr. Marcelo Campêlo,Individual,Brazil," Brazil",2012-10-18T00:00,Ongoing," Corruption",WBG cross debarment,NULL,NULL,NULL
Ecograph LLC (a.k.a. Ecography Company) (Ecograph),Firm,Mongolia," Mongolia",2015-11-09T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Ms. Tumendemberel Bayarmaa,Individual,Mongolia," Mongolia",2015-11-09T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
"International Epirotic Construction and Trading S.A., D.I.T.E. S.A. (D.I.T.E.)",Firm,Greece," Albania",2015-11-09T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
"A Pontual - Motores e Máquinas, Ltda",Firm,Brazil," Brazil",2012-11-13T00:00,Ongoing," Collusion",WBG cross debarment,NULL,NULL,NULL
Carlos Estuardo Garcia Bautista,Individual,Guatemala," Guatemala",2015-12-01T00:00,Ongoing," Fraud, Collusion, Corruption",IDB,Debarment,SOFF,Sanctions Officer
PICSA Proyectos de Ingeniería Civil y Sanitaria,Firm,Guatemala," Guatemala",2015-12-01T00:00,Ongoing," Fraud, Collusion, Corruption",IDB,Debarment,SOFF,Sanctions Officer
INPRECO Ingeniería Prefabricados y Construccion,Firm,Guatemala," Guatemala",2015-12-01T00:00,Ongoing," Fraud, Collusion, Corruption",IDB,Debarment,SOFF,Sanctions Officer
PSI Proyectos y Servicios de Insfraestructura,Firm,Guatemala," Guatemala",2015-12-01T00:00,Ongoing," Fraud, Collusion, Corruption",IDB,Debarment,SOFF,Sanctions Officer
Ruth Ismenia de Belén Mazariegos,Individual,Guatemala," Guatemala",2015-12-01T00:00,2025-11-30 00:00:00," Fraud",IDB,Debarment,SOFF,Sanctions Officer
"Hunan Construction Group Co., Ltd.",Firm,China," China",2016-02-26T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
San Isidro-L S.R.L. (San Isidro),Firm,Peru," Peru",2016-03-08T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Mr. Nabor Miranda Gambini,Individual,Peru," Peru",2016-03-08T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
"Roprucsa Contratistas Generales, S.A. (Roprucsa)",Firm,Peru," Peru",2016-03-17T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
"BMR Consultoría y Construcción, S.A.C. (BMR)",Firm,Peru," Peru",2016-03-17T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Consorcio Roprucsa,Firm,Peru," Peru",2016-03-17T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Empressa Constructora Fernández Escobar (Constructora Fernández Escobar),Firm,Bolivia," Bolivia",2014-06-12T00:00,Ongoing," Collusion",WBG cross debarment,NULL,NULL,NULL
Constructora y Servicios Merubia (Constructora Merubia),Firm,Bolivia," Bolivia",2014-06-12T00:00,Ongoing," Collusion",WBG cross debarment,NULL,NULL,NULL
Mr. Walter Fernández Fernández,Individual,Bolivia," Bolivia",2014-06-12T00:00,Ongoing," Collusion",WBG cross debarment,NULL,NULL,NULL
Ms. Nancy Merubia Yepes,Individual,Bolivia," Bolivia",2014-06-12T00:00,Ongoing," Collusion",WBG cross debarment,NULL,NULL,NULL
Consorcio Ocongate,Firm,Peru," Peru",2016-06-24T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Minimix Agencies (Minimix),Firm,Kenya," Kenya",2016-08-02T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Information Computer Systems CJSC (Incom),Firm,Ukraine," Ukraine",2016-08-09T00:00,2040-01-08 00:00:00," Collusion, Corruption, Obstruction",WBG cross debarment,NULL,NULL,NULL
Mr. Alexander Fedchenko (Mr. Fedchenko),Individual,Ukraine," Ukraine",2016-08-09T00:00,2027-12-28 00:00:00," Collusion, Corruption",WBG cross debarment,NULL,NULL,NULL
Mr. Sergei Savchenko (Mr. Savcenko),Individual,Ukraine," Ukraine",2016-08-09T00:00,Ongoing," Collusion",WBG cross debarment,NULL,NULL,NULL
"Jiangxi Hengjian Road and Bridge Engineering Co., Ltd.",Firm,China," China",2016-08-31T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Sunaula Khimti Pvt. Construction Ltd. (M/s Sunaula Khimti),Firm,Nepal," Nepal",2016-09-07T00:00,Ongoing," Fraud",ADB cross debarment,NULL,NULL,NULL
"Bhandari, Dharma Raj",Individual,Nepal," Nepal",2016-09-07T00:00,Ongoing," Fraud",ADB cross debarment,NULL,NULL,NULL
"Rafael ""Ace"" Fresnoza Lim",Individual,Philippines," Philippines",2016-09-09T00:00,Ongoing," Collusion, Corruption, Obstruction",ADB cross debarment,NULL,NULL,NULL
Mr. Pedro César Lazo Montejo (Mr. Lazo),Individual,Peru," Peru",2016-09-13T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
"ESKE, S.A.C.",Firm,Peru," Argentina",2016-10-04T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
George C. Benson,Individual,United States of America," Saint Lucia",2016-09-20T00:00,2027-09-19 00:00:00," Fraud",IDB,Debarment,SOFF,Sanctions Officer
Regional Communications Ltd.,Firm,Saint Lucia," Saint Lucia",2016-09-20T00:00,2027-09-19 00:00:00," Fraud",IDB,Debarment,SOFF,Sanctions Officer
Cellucian Limited,Firm,Saint Lucia," Saint Lucia",2016-09-20T00:00,2027-09-19 00:00:00," Fraud",IDB,Debarment,SOFF,Sanctions Officer
Ayemo Investments Limited,Firm,Uganda," Uganda",2011-10-17T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Mr. Alex Opua,Individual,Uganda," Uganda",2011-10-17T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Akin Project LLC,Firm,Azerbaijan," Azerbaijan",2016-10-24T00:00,Ongoing," Fraud",ADB cross debarment,NULL,NULL,NULL
Astra Biopharmaceuticals Limited,Firm,Bangladesh," Bangladesh",2016-10-21T00:00,Ongoing," Corruption",WBG cross debarment,NULL,NULL,NULL
CAA Communications & Accessories AG,Firm,Switzerland," Ethiopia, United Republic of Tanzania, Uganda",2014-10-24T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Zanotta Sudamericana S.A. (Zanotta),Firm,Argentina," Argentina",2016-11-15T00:00,Ongoing," Collusion",WBG cross debarment,NULL,NULL,NULL
Centro Productivo de Diseño S.A. (Tecno),Firm,Argentina," Argentina",2016-11-15T00:00,Ongoing," Collusion",WBG cross debarment,NULL,NULL,NULL
Mr. Pablo Maximiliano Kantt (Mr. Kantt),Individual,Argentina," Argentina",2016-11-15T00:00,Ongoing," Collusion",WBG cross debarment,NULL,NULL,NULL
Cumorah,Firm,Bolivia," Bolivia",2014-12-02T00:00,Ongoing," Collusion",WBG cross debarment,NULL,NULL,NULL
Florencia M. Silvestre,Individual,Philippines," Philippines",2016-12-29T00:00,Ongoing," Fraud",ADB cross debarment,NULL,NULL,NULL
Pewee Flomo,Individual,Liberia," Liberia",2017-02-09T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Mr. Jaime Salazar Espinoza (“Mr. Salazar”) c/o Desarrollo con Ingeniería Contratistas Generales S.A,Individual,Peru," Peru",2017-03-07T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Ingenieros Civiles Asociados S.A.,Firm,Bolivia," Bolivia",2017-04-11T00:00,Ongoing," Collusion",WBG cross debarment,NULL,NULL,NULL
Lao- Asie Consultant Group,Firm,Lao People's Democratic Republic," Lao People's Democratic Republic",2017-04-11T00:00,Ongoing," Corruption",WBG cross debarment,NULL,NULL,NULL
ASDECON CORPORATION COMPANY LIMITED,Firm,Thailand," Thailand",2012-05-30T00:00,Ongoing," Corruption",WBG cross debarment,NULL,NULL,NULL
Consia Consultants APS (Consia),Firm,Denmark," Indonesia",2017-08-09T00:00,2031-03-29 00:00:00," Fraud, Corruption",WBG cross debarment,NULL,NULL,NULL
Dutchmed B.V.,Firm,Netherlands," Romania",2017-08-14T00:00,2031-06-01 00:00:00," Corruption, Obstruction",WBG cross debarment,NULL,NULL,NULL
Constructora Arteaga S.R.L. (CONARTE S.R.L.),Firm,Bolivia," Bolivia",2017-08-14T00:00,Ongoing," Fraud, Collusion",WBG cross debarment,NULL,NULL,NULL
Far Kurilish Montaj Invest,Firm,Uzbekistan," Uzbekistan",2017-08-14T00:00,Ongoing," Fraud, Collusion, Coercion",WBG cross debarment,NULL,NULL,NULL
Zakir Hossain,Individual,Bangladesh," Bangladesh",2012-11-23T00:00,Ongoing," Fraud, Collusion, Obstruction",ADB cross debarment,NULL,NULL,NULL
Entreprise de Construction Urbaine et Rurales (ECUR) sarl,Firm,Mali," Mali",2017-10-27T00:00,Ongoing," Fraud",AfDB cross debarment,NULL,NULL,NULL
"Proyectos Diversos Integrados, S.A. (Prodiel)",Firm,El Salvador," El Salvador",2017-11-15T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Coronado Ingenieros S.A.,Firm,Nicaragua," Nicaragua",2017-12-14T00:00,Ongoing," Fraud, Corruption",WBG cross debarment,NULL,NULL,NULL
Jose Benigno Coronado Mendez,Individual,Nicaragua," Nicaragua",2017-12-14T00:00,Ongoing," Fraud, Corruption",WBG cross debarment,NULL,NULL,NULL
Ruth Eli Cuarezma Fuentes c/o Coronado Ingenieros S.A.,Individual,Nicaragua," Nicaragua",2017-12-14T00:00,Ongoing," Fraud, Corruption",WBG cross debarment,NULL,NULL,NULL
"UPL Environmental Engineers Limited (""UPLEEL"")",Firm,India," India",2017-12-14T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Invepar Construtora Ltda. (CNPJ: 20. 182.043/0001-42),Firm,Brazil," Guyana",2017-12-29T00:00,2030-12-28 00:00:00," Fraud, Collusion",IDB,Debarment,SOFF,Sanctions Officer
Vevakanand Dalip Enterprise,Firm,Guyana," Guyana",2017-12-29T00:00,2030-12-28 00:00:00," Fraud, Collusion",IDB,Debarment,SOFF,Sanctions Officer
Vevakanand Dalip,Individual,Guyana," Guyana",2017-12-29T00:00,2030-12-28 00:00:00," Fraud, Collusion",IDB,Debarment,SOFF,Sanctions Officer
Sabrina Mary Williams,Individual,Guyana," Guyana",2017-12-29T00:00,2030-12-28 00:00:00," Fraud, Collusion",IDB,Debarment,SOFF,Sanctions Officer
Alamtech International and General Supplier,Firm,Sierra Leone," Sierra Leone",2018-01-18T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Ruslan Tikinti Demontaj MMC/Ruslan Building Demontage LLC,Firm,Azerbaijan," Azerbaijan",2018-01-29T00:00,Ongoing," Collusion",WBG cross debarment,NULL,NULL,NULL
Modern Servis MMC/Modern Serviz MMC,Firm,Azerbaijan," Azerbaijan",2018-01-29T00:00,Ongoing," Collusion",WBG cross debarment,NULL,NULL,NULL
Madhucon Projects Limited,Firm,India," India",2018-02-02T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
"Zhongtai Construction Group Holding Co., Ltd.",Firm,China," China",2018-02-13T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Nortex Link LLP,Firm,Kazakhstan," Kazakhstan",2018-02-13T00:00,Ongoing," Collusion, Obstruction",WBG cross debarment,NULL,NULL,NULL
Shailung Construction Company Pvt. Ltd.,Firm,Nepal," Nepal",2018-02-13T00:00,Ongoing," Corruption",WBG cross debarment,NULL,NULL,NULL
Marabef Global Limited (,Firm,Nigeria," Nigeria",2018-02-13T00:00,Ongoing," Corruption",WBG cross debarment,NULL,NULL,NULL
Mr. Patrick Alozie Onwuka (,Individual,Nigeria," Nigeria",2018-02-13T00:00,Ongoing," Corruption",WBG cross debarment,NULL,NULL,NULL
"Guoji Construction Group Co., Ltd.",Firm,China," China",2018-02-13T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Gavinor S.R.L.,Firm,Argentina," Argentina",2018-02-28T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Constructora J.C. Segura Construcciones S.A.- Gavinor S.R.L.-UTE,Firm,Argentina," Argentina",2018-02-28T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
National Alimentation Services (,Firm,Haiti," Haiti",2018-04-11T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
"P- Square Associates, Co. (",Firm,Philippines," Philippines",2018-04-11T00:00,Ongoing," Collusion",WBG cross debarment,NULL,NULL,NULL
Mr. Jose Palac (,Individual,Philippines," Philippines",2018-04-11T00:00,Ongoing," Collusion",WBG cross debarment,NULL,NULL,NULL
"Innogy Solutions, Inc (",Firm,Philippines," Philippines",2018-04-11T00:00,Ongoing," Fraud, Collusion",WBG cross debarment,NULL,NULL,NULL
Ms. Lloly Emano Yana,Individual,Philippines," Philippines",2018-04-11T00:00,Ongoing," Fraud, Collusion",WBG cross debarment,NULL,NULL,NULL
Servicios de Ingeniería y Construcciones S.A. (,Firm,Nicaragua," Nicaragua",2018-04-19T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
"RKD Construction Pvt. Ltd. (""RKD"")",Firm,India," India",2018-04-19T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Julio Enrique Reyna Arreaga,Individual,Guatemala," Guatemala",2018-04-27T00:00,2030-04-26 00:00:00," Fraud, Collusion, Corruption",IDB,Debarment,SOFF,Sanctions Officer
Nabaraj Basnet,Individual,Nepal," Nepal",2018-04-27T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Africa Railways Logistics Limited (,Firm,Mauritius," Mauritius",2018-05-11T00:00,Ongoing," Fraud, Corruption",WBG cross debarment,NULL,NULL,NULL
T&G Ltd. (,Firm,Georgia," Georgia",2018-06-13T00:00,Ongoing," Collusion",WBG cross debarment,NULL,NULL,NULL
Avtobani Ltd. (,Firm,Georgia," Georgia",2018-06-13T00:00,Ongoing," Collusion",WBG cross debarment,NULL,NULL,NULL
Mr. Shalva Bubuteishvili (,Individual,Georgia," Georgia",2018-06-13T00:00,Ongoing," Collusion",WBG cross debarment,NULL,NULL,NULL
Alam & Sons Government Contractor & General Order,Firm,Pakistan," Pakistan",2018-06-21T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Mr. Khuda Dad,Individual,Pakistan," Pakistan",2018-06-21T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Latifi Construction and Road Construction Company (,Firm,Afghanistan," Afghanistan",2018-06-26T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Stroy Montaj Invest,Firm,Uzbekistan," Uzbekistan",2018-06-29T00:00,Ongoing," Fraud, Collusion",WBG cross debarment,NULL,NULL,NULL
Juydam-Tamirchi LLC,Firm,Uzbekistan," Uzbekistan",2018-06-29T00:00,Ongoing," Fraud, Collusion",WBG cross debarment,NULL,NULL,NULL
Marco Vinicio Arreaga Estrada,Individual,Guatemala," Guatemala",2018-06-26T00:00,2027-06-25 00:00:00," Collusion, Corruption",IDB,Debarment,SOFF,Sanctions Officer
PT. Gunakarya Nusantara,Firm,Indonesia," Indonesia",2018-08-16T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Leonardo Iván Noblecilla Sotomayor,Individual,Ecuador," Ecuador",2018-10-31T00:00,2030-10-30 00:00:00," Fraud, Corruption",IDB,Debarment,SOFF,Sanctions Officer
Nobsaconstrucciones S.A.,Firm,Ecuador," Ecuador",2018-10-31T00:00,2030-10-30 00:00:00," Fraud, Corruption",IDB,Debarment,SOFF,Sanctions Officer
NREM. International Inc.,Firm,Canada,NULL,2018-12-19T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
"Center for Environmental Studies and Management, Inc. (CESM)",Firm,Philippines," Philippines",2017-08-21T00:00,Ongoing," Fraud, Corruption",WBG cross debarment,NULL,NULL,NULL
Olive Health Care,Firm,India," India",2017-08-21T00:00,2028-01-20 00:00:00," Fraud, Corruption",WBG cross debarment,NULL,NULL,NULL
Mr. Jay Modi,Individual,India," India",2017-08-21T00:00,2025-01-20 00:00:00," Fraud, Corruption",WBG cross debarment,NULL,NULL,NULL
Liaoning-Efacec Electrical Equipment Co. Ltd.,Firm,China," Pakistan",2019-01-04T00:00,2023-11-29 00:00:00," Fraud",ADB cross debarment,NULL,NULL,NULL
PT. Areabangun Putra Sejati (,Firm,Indonesia," Indonesia",2019-02-04T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Rojoke CNE Services Ltd.,Firm,Nigeria," Nigeria",2019-02-15T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
CNE Environmental & Waste Services Ltd,Firm,Nigeria," Nigeria",2019-02-15T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Robinson Ekenedilichukwu Ojoko,Individual,Nigeria," Nigeria",2019-02-15T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Société Tunisie Travaux,Firm,Tunisia," Tunisia",2019-02-15T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Emmajoko Nig Enterprises,Firm,Nigeria," Nigeria",2019-02-15T00:00,Ongoing," Corruption",WBG cross debarment,NULL,NULL,NULL
Henry Chinedu Ojoko,Individual,Nigeria," Nigeria",2019-02-15T00:00,Ongoing," Corruption",WBG cross debarment,NULL,NULL,NULL
Dulce María Quintanilla Granados,Individual,Nicaragua," Nicaragua",2019-03-07T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
"Jiangxi Province Qunli Construction Co., Ltd.",Firm,China," China",2019-05-02T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
"Yulin Yuyang District Xingyuan Hydropower Engineering Co., Ltd.",Firm,China," China",2019-05-10T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Tiger IT Bangladesh Ltd,Firm,Bangladesh," Bangladesh",2019-05-10T00:00,2028-10-23 00:00:00," Collusion, Corruption, Obstruction",WBG cross debarment,NULL,NULL,NULL
Ziaur Rahman,Individual,Bangladesh," Bangladesh",2019-05-10T00:00,2025-10-23 00:00:00," Collusion, Corruption",WBG cross debarment,NULL,NULL,NULL
M/s Techfab International Pvt. Ltd. (,Firm,India," Ghana",2019-05-29T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Ultimate Engineering Limited,Firm,Kenya," Kenya",2019-06-21T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
"Guizhou Zhonghang South Machinery Construction Co., Ltd.",Firm,China," China",2019-06-28T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Emmyways Engineering/Construction Limited,Firm,Uganda," Uganda",2019-07-08T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
MMK Project Services Limited,Firm,United Republic of Tanzania," United Republic of Tanzania",2014-01-31T00:00,Ongoing," Fraud, Corruption",WBG cross debarment,NULL,NULL,NULL
Mr. Munawer Khalfan,Individual,United Republic of Tanzania," United Republic of Tanzania",2014-01-31T00:00,Ongoing," Fraud, Corruption",WBG cross debarment,NULL,NULL,NULL
Mr. Muminjon Yuldashev,Individual,Uzbekistan," Uzbekistan",2019-07-22T00:00,Ongoing," Coercion",WBG cross debarment,NULL,NULL,NULL
Golden Hall Services Co. Ltd.,Firm,Cambodia," Cambodia",2019-07-22T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Lutoyilex Construct Limited,Firm,Nigeria," Nigeria",2019-08-01T00:00,Ongoing," Fraud",AfDB cross debarment,NULL,NULL,NULL
Bamidele Obiniyi (also known as Bamidele Abayomi),Individual,Nigeria," Nigeria",2019-08-01T00:00,Ongoing," Fraud",AfDB cross debarment,NULL,NULL,NULL
PT. Nugraha Adi Taruna,Firm,Indonesia," Indonesia",2019-08-19T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
"Hunan Water and Hydropower Construction Group Co., Ltd. ",Firm,China," China",2019-09-12T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Henan Qiankun Road and Bridge Engineering Co. Ltd.,Firm,China," China",2019-10-02T00:00,Ongoing," Fraud",ADB cross debarment,NULL,NULL,NULL
Zhang Zhike,Individual,China," China",2019-10-02T00:00,Ongoing," Fraud",ADB cross debarment,NULL,NULL,NULL
PT. Suburo Jayana lndah Corp. (,Firm,Indonesia," Indonesia",2019-10-02T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Beijing Zhuyuan Technology Co. Ltd.,Firm,China," China",2019-10-07T00:00,Ongoing," Fraud",ADB cross debarment,NULL,NULL,NULL
"Zhang, Fangjun",Individual,China," China",2019-10-07T00:00,Ongoing," Fraud",ADB cross debarment,NULL,NULL,NULL
Joyluck Venture India Pvt. Ltd.,Firm,India," Ghana",2019-10-08T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Chasha Lands Pvt. Ltd.,Firm,India," Ghana",2019-10-08T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
"Tengwangge Construction Engineering Group Co., Ltd.",Firm,China," China",2019-10-08T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
"Changhong Construction Group Co., Ltd.",Firm,China," China",2019-10-30T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
M/s. Famy Care Limited,Firm,India," India",2017-08-09T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Exode Travel,Firm,Congo," Congo",2019-11-18T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Garry Jean,Individual,Haiti," Haiti",2019-11-12T00:00,2034-11-11 00:00:00," Fraud, Obstruction",IDB,Debarment,SOFF,Sanctions Officer
Wilner Jean,Individual,Haiti," Haiti",2019-11-12T00:00,2029-11-11 00:00:00," Fraud, Obstruction",IDB,Debarment,SOFF,Sanctions Officer
Ronel Jean Baptiste,Individual,Haiti," Haiti",2019-11-12T00:00,2028-11-11 00:00:00," Fraud",IDB,Debarment,SOFF,Sanctions Officer
Jean Charles and Co./APEC .,Firm,Haiti," Haiti",2019-11-12T00:00,2026-11-11 00:00:00," Collusion, Obstruction",IDB,Debarment,SOFF,Sanctions Officer
Victor Forest et Co/Société d'lngénierie et de Topographie (SIT),Firm,Haiti," Haiti",2019-11-12T00:00,2025-11-11 00:00:00," Fraud",IDB,Debarment,SOFF,Sanctions Officer
Victor Forest,Individual,Haiti," Haiti",2019-11-12T00:00,2026-11-11 00:00:00," Fraud",IDB,Debarment,SOFF,Sanctions Officer
Canes Charles,Individual,Haiti," Haiti",2019-11-12T00:00,2026-11-11 00:00:00," Collusion, Obstruction",IDB,Debarment,SOFF,Sanctions Officer
Magalie Habitant,Individual,Haiti," Haiti",2019-11-12T00:00,2026-11-11 00:00:00," Collusion, Obstruction",IDB,Debarment,SOFF,Sanctions Officer
Marino Vásquez Rojas,Individual,Guatemala," Guatemala",2019-11-20T00:00,2029-11-19 00:00:00," Corruption, Collusion",IDB,Debarment,SOFF,Sanctions Officer
Moto-ID S.A.,Firm,Luxembourg," Bangladesh",2019-11-25T00:00,2025-10-23 00:00:00," Corruption, Collusion",WBG cross debarment,NULL,NULL,NULL
Signaletique S.A. SPF,Firm,Luxembourg," Bangladesh",2019-11-25T00:00,2025-10-23 00:00:00," Corruption, Collusion",WBG cross debarment,NULL,NULL,NULL
Tiger IT Americas LLC,Firm,United States of America," Bangladesh",2019-11-25T00:00,2028-10-23 00:00:00," Corruption, Collusion, Obstruction",WBG cross debarment,NULL,NULL,NULL
Zeng Ziling,Individual,China," Bangladesh",2019-12-30T00:00,Ongoing," Fraud",ADB cross debarment,NULL,NULL,NULL
"LLC ",Firm,Russian Federation," Tajikistan",2020-01-22T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Eswari Electricals Pvt. Limited,Firm,India," Bangladesh",2019-12-11T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
General Electric Power Sweden AB,Firm,Sweden," Lithuania",2019-12-13T00:00,2025-11-26 00:00:00," Corruption",EBRD cross debarment,NULL,NULL,NULL
Kenoster (Nigeria) Limited,Firm,Nigeria," Nigeria",2020-02-14T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
Mr. Ugochukwu Ezeh,Individual,Nigeria," Nigeria",2020-02-14T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
LTD Dagi,Firm,Georgia," Georgia",2020-02-24T00:00,Ongoing," Fraud",WBG cross debarment,NULL,NULL,NULL
